Date,TempC
03/05/2011,28.25
04/05/2011,27.16666667
05/05/2011,27.375
06/05/2011,27
07/05/2011,26.375
08/05/2011,28.375
09/05/2011,28.20833333
10/05/2011,28.375
11/05/2011,28.875
12/05/2011,28.5
13/05/2011,28.75
14/05/2011,29.875
15/05/2011,31.04166667
16/05/2011,27.625
17/05/2011,29.33333333
18/05/2011,29.75
19/05/2011,28.875
20/05/2011,28.16666667
21/05/2011,27.45833333
22/05/2011,27.75
23/05/2011,28.5
24/05/2011,28.75
25/05/2011,29.25
26/05/2011,29.95833333
27/05/2011,30.16666667
28/05/2011,29.5
29/05/2011,28.83333333
30/05/2011,28.54166667
31/05/2011,28.66666667
01/06/2011,28.70833333
02/06/2011,29.66666667
03/06/2011,29
04/06/2011,27.79166667
05/06/2011,26.70833333
06/06/2011,27.25
07/06/2011,28.54166667
08/06/2011,27.66666667
09/06/2011,25.08333333
10/06/2011,23.54166667
11/06/2011,24.25
12/06/2011,26.04166667
13/06/2011,25.875
14/06/2011,24.70833333
15/06/2011,24.95833333
16/06/2011,23.875
17/06/2011,24.54166667
18/06/2011,24.5
19/06/2011,24.66666667
20/06/2011,24.58333333
21/06/2011,24.375
22/06/2011,24.66666667
23/06/2011,24.70833333
24/06/2011,24.83333333
25/06/2011,23.875
26/06/2011,24.375
27/06/2011,24.5
28/06/2011,23.91666667
29/06/2011,22.75
30/06/2011,24.58333333
01/07/2011,25.20833333
02/07/2011,25.375
03/07/2011,25.04166667
04/07/2011,25.20833333
05/07/2011,25.5
06/07/2011,24.83333333
07/07/2011,24.25
08/07/2011,23.5
09/07/2011,23.41666667
10/07/2011,24.45833333
11/07/2011,24.29166667
12/07/2011,24.16666667
13/07/2011,22.95833333
14/07/2011,22.66666667
15/07/2011,24.375
16/07/2011,23.66666667
17/07/2011,23.125
18/07/2011,23
19/07/2011,22.58333333
20/07/2011,22.75
21/07/2011,23.25
22/07/2011,23.29166667
23/07/2011,23.66666667
24/07/2011,24.04166667
25/07/2011,25.20833333
26/07/2011,25.20833333
27/07/2011,23.75
28/07/2011,24.45833333
29/07/2011,24.625
30/07/2011,24.08333333
31/07/2011,22.25
01/08/2011,22.66666667
02/08/2011,22.625
03/08/2011,22.875
04/08/2011,23
05/08/2011,22.70833333
06/08/2011,23.25
07/08/2011,23.41666667
08/08/2011,23.29166667
09/08/2011,23.45833333
10/08/2011,23.58333333
11/08/2011,23.20833333
12/08/2011,22.83333333
13/08/2011,23.125
14/08/2011,22.41666667
15/08/2011,23.5
16/08/2011,23.66666667
17/08/2011,23.70833333
18/08/2011,23.91666667
19/08/2011,24.375
20/08/2011,24.375
21/08/2011,24.04166667
22/08/2011,24.66666667
23/08/2011,24
24/08/2011,22.375
25/08/2011,21.75
26/08/2011,22.29166667
27/08/2011,21.70833333
28/08/2011,22.25
29/08/2011,22.29166667
30/08/2011,22.79166667
31/08/2011,24.375
01/09/2011,24.16666667
02/09/2011,23.58333333
03/09/2011,22.41666667
04/09/2011,23.08333333
05/09/2011,23.08333333
06/09/2011,22.29166667
07/09/2011,22.625
08/09/2011,23.625
09/09/2011,23.66666667
10/09/2011,23.33333333
11/09/2011,23.625
12/09/2011,23.45833333
13/09/2011,23.79166667
14/09/2011,24.08333333
15/09/2011,23.375
16/09/2011,23.58333333
17/09/2011,23.70833333
18/09/2011,23.79166667
19/09/2011,23.66666667
20/09/2011,23.33333333
21/09/2011,22.70833333
22/09/2011,23.16666667
23/09/2011,22.66666667
24/09/2011,22.70833333
25/09/2011,23
26/09/2011,23.29166667
27/09/2011,23.625
28/09/2011,22.875
29/09/2011,23.83333333
30/09/2011,24.25
01/10/2011,24.16666667
02/10/2011,23.75
03/10/2011,23.04166667
04/10/2011,22.875
05/10/2011,24.04166667
06/10/2011,24.33333333
07/10/2011,24.58333333
08/10/2011,24.45833333
09/10/2011,25.16666667
10/10/2011,25.75
11/10/2011,25.16666667
12/10/2011,23.70833333
13/10/2011,24.75
14/10/2011,25.75
15/10/2011,26.08333333
16/10/2011,25.20833333
17/10/2011,24.875
18/10/2011,25.08333333
19/10/2011,24.875
20/10/2011,24.70833333
21/10/2011,24.33333333
22/10/2011,23.83333333
23/10/2011,23.91666667
24/10/2011,23.16666667
25/10/2011,22.83333333
26/10/2011,23.29166667
27/10/2011,23.20833333
28/10/2011,24.20833333
29/10/2011,24.04166667
30/10/2011,24.08333333
31/10/2011,23.79166667
01/11/2011,23.79166667
02/11/2011,23.54166667
03/11/2011,23.58333333
04/11/2011,23.75
05/11/2011,23.58333333
06/11/2011,23.54166667
07/11/2011,22.79166667
08/11/2011,23.20833333
09/11/2011,23.08333333
10/11/2011,22.45833333
11/11/2011,23
12/11/2011,23.29166667
13/11/2011,23.16666667
14/11/2011,23.45833333
15/11/2011,23.58333333
16/11/2011,22.5
17/11/2011,21
18/11/2011,21
19/11/2011,21.75
20/11/2011,22
21/11/2011,22.25
22/11/2011,21.54166667
23/11/2011,20.79166667
24/11/2011,20.875
25/11/2011,21.20833333
26/11/2011,22.79166667
27/11/2011,24.04166667
28/11/2011,24.125
29/11/2011,24.66666667
30/11/2011,24.5
01/12/2011,24.66666667
02/12/2011,23.95833333
03/12/2011,23.125
04/12/2011,23.45833333
05/12/2011,23.66666667
06/12/2011,23.70833333
07/12/2011,23.125
08/12/2011,21.70833333
09/12/2011,21.91666667
10/12/2011,22.875
11/12/2011,22.41666667
12/12/2011,22.25
13/12/2011,22.375
14/12/2011,21.75
15/12/2011,20.79166667
16/12/2011,20.375
17/12/2011,21
18/12/2011,21.33333333
19/12/2011,21.20833333
20/12/2011,20.91666667
21/12/2011,21.33333333
22/12/2011,20.83333333
23/12/2011,20.54166667
24/12/2011,21
25/12/2011,20.58333333
26/12/2011,20.875
27/12/2011,19.95833333
28/12/2011,20.375
29/12/2011,20.45833333
30/12/2011,21.125
31/12/2011,23.08333333
01/01/2012,23.20833333
02/01/2012,23.16666667
03/01/2012,23.04166667
04/01/2012,22.875
05/01/2012,23.875
06/01/2012,22.79166667
07/01/2012,20.75
08/01/2012,19.875
09/01/2012,21.125
10/01/2012,19.16666667
11/01/2012,18.95833333
12/01/2012,18.625
13/01/2012,19
14/01/2012,19.25
15/01/2012,19.75
16/01/2012,20.70833333
17/01/2012,20.91666667
18/01/2012,19.20833333
19/01/2012,18.20833333
20/01/2012,19.29166667
21/01/2012,20
22/01/2012,20.83333333
23/01/2012,21.20833333
24/01/2012,22
25/01/2012,21.83333333
26/01/2012,21.29166667
27/01/2012,21.58333333
28/01/2012,20.375
29/01/2012,19.33333333
30/01/2012,21.58333333
31/01/2012,23
01/02/2012,22.54166667
02/02/2012,23.08333333
03/02/2012,22.79166667
04/02/2012,23.375
05/02/2012,23.66666667
06/02/2012,24.04166667
07/02/2012,23
08/02/2012,21.66666667
09/02/2012,20.58333333
10/02/2012,22.125
11/02/2012,23.20833333
12/02/2012,23.875
13/02/2012,24.04166667
14/02/2012,24.08333333
